============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
test_to_copy.py::test_to_copy_int_to_int[src_dtype0-dst_dtype0-shape2] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype0-dst_dtype0-shape3] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype0-dst_dtype0-shape4] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype0-dst_dtype0-shape5] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype1-dst_dtype1-shape0] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype1-dst_dtype1-shape1] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype1-dst_dtype1-shape2] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype1-dst_dtype1-shape3] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype1-dst_dtype1-shape4] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype1-dst_dtype1-shape5] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype2-dst_dtype2-shape0] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype2-dst_dtype2-shape1] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype2-dst_dtype2-shape2] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype2-dst_dtype2-shape3] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype2-dst_dtype2-shape4] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype2-dst_dtype2-shape5] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype3-dst_dtype3-shape0] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype3-dst_dtype3-shape1] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype3-dst_dtype3-shape2] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype3-dst_dtype3-shape3] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype3-dst_dtype3-shape4] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype3-dst_dtype3-shape5] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype4-dst_dtype4-shape0] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype4-dst_dtype4-shape1] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype4-dst_dtype4-shape2] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype4-dst_dtype4-shape3] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype4-dst_dtype4-shape4] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype4-dst_dtype4-shape5] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype5-dst_dtype5-shape0] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype5-dst_dtype5-shape1] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype5-dst_dtype5-shape2] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype5-dst_dtype5-shape3] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype5-dst_dtype5-shape4] PASSED
test_to_copy.py::test_to_copy_int_to_int[src_dtype5-dst_dtype5-shape5] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype0-shape0] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype0-shape1] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype0-shape2] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype0-shape3] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype0-shape4] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype0-shape5] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype1-shape0] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype1-shape1] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype1-shape2] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype1-shape3] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype1-shape4] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype1-shape5] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype2-shape0] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype2-shape1] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype2-shape2] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype2-shape3] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype2-shape4] PASSED
test_to_copy.py::test_to_copy_float_to_uint8[src_dtype2-shape5] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype0-shape0] PASSED
test_to_copy.py::test_to_copy_uint8_to_float[dst_dtype0-shape1] PASSED
